iter	Passed	Remaining
0	53	53559
1	58	28957
2	61	20466
3	64	16130
4	67	13513
5	71	11763
6	74	10510
7	77	9609
8	81	8923
9	84	8343
10	87	7853
11	90	7443
12	93	7102
13	96	6806
14	99	6550
15	102	6328
16	105	6123
17	108	5939
18	111	5780
19	115	5636
20	118	5507
21	121	5390
22	124	5281
23	127	5188
24	130	5101
25	133	5012
26	136	4931
27	140	4862
28	143	4796
29	146	4734
30	149	4672
31	152	4612
32	155	4556
33	158	4509
34	161	4460
35	164	4412
36	167	4370
37	171	4329
38	174	4288
39	177	4249
40	180	4219
41	183	4182
42	186	4150
43	189	4115
44	192	4087
45	195	4055
46	198	4029
47	201	4002
48	204	3975
49	207	3950
50	211	3929
51	214	3905
52	217	3879
53	220	3857
54	223	3836
55	226	3816
56	229	3796
57	232	3776
58	235	3760
59	239	3745
60	242	3725
61	245	3706
62	248	3688
63	251	3672
64	254	3654
65	257	3637
66	260	3626
67	263	3610
68	266	3595
69	269	3582
70	272	3567
71	275	3555
72	278	3541
73	282	3529
74	285	3516
75	288	3504
76	291	3492
77	294	3480
78	298	3474
79	301	3462
80	304	3451
81	307	3438
82	310	3427
83	313	3417
84	316	3406
85	319	3397
86	322	3387
87	325	3375
88	328	3366
89	331	3356
90	335	3346
91	338	3339
92	341	3329
93	344	3320
94	347	3311
95	350	3301
96	353	3292
97	357	3286
98	362	3297
99	365	3290
100	368	3284
101	371	3274
102	375	3267
103	378	3260
104	381	3252
105	384	3243
106	387	3236
107	390	3229
108	393	3220
109	397	3214
110	400	3206
111	403	3197
112	406	3191
113	409	3182
114	412	3175
115	415	3166
116	418	3158
117	421	3150
118	424	3143
119	427	3135
120	430	3129
121	433	3122
122	437	3116
123	440	3109
124	443	3102
125	446	3096
126	449	3090
127	452	3083
128	456	3078
129	459	3071
130	461	3064
131	465	3057
132	468	3051
133	471	3044
134	474	3039
135	477	3032
136	480	3026
137	483	3019
138	486	3013
139	489	3007
140	492	3000
141	495	2995
142	498	2989
143	501	2984
144	505	2979
145	508	2972
146	511	2966
147	514	2961
148	517	2955
149	520	2949
150	524	2950
151	528	2949
152	532	2947
153	536	2947
154	540	2945
155	544	2944
156	547	2941
157	551	2940
158	556	2941
159	559	2938
160	563	2937
161	567	2935
162	571	2934
163	576	2938
164	580	2936
165	583	2934
166	587	2931
167	591	2929
168	595	2927
169	598	2920
170	601	2914
171	604	2909
172	607	2903
173	610	2897
174	613	2891
175	616	2886
176	619	2880
177	622	2875
178	625	2870
179	628	2863
180	631	2858
181	634	2853
182	637	2847
183	640	2842
184	644	2837
185	647	2832
186	650	2826
187	654	2825
188	657	2819
189	660	2813
190	663	2808
191	666	2804
192	669	2798
193	672	2794
194	675	2789
195	678	2783
196	681	2779
197	685	2774
198	688	2769
199	691	2764
200	694	2759
